,ARGM-ADV,ARG4,R-ARG1,ARGM-DIS,ARG-A4,ARG-LOC,ARGM-MOD,R-ARGM-LOC,ARGM-EXT,ARGM-LOC,ARGM-RCL,R-ARG0,ARGRG1,ARG2,ARGM-CAU,ARGM-COM,ARGM-NEG,ARG3,ARGM-REC,R-ARGM-CAU,ARGM-GOL,ARG1,ARGM-TMP,R-ARGM-TMP,ARGM-PRD,ARGM-MNR,ARG0,ARGM-DIR,ARGM-PNC,ARG-A1,ARGM-PRP,ARGM-PPR,overall
precision,0.6154,0.8926,0.0,0.7381,0.0,0.0,0.9618,0.0,0.7586,0.6753,0.0,0.0,0.0,0.833,0.8636,0.0,0.9911,0.4706,0.0,0.0,0.0,0.9353,0.8161,0.0,0.1538,0.7616,0.9597,0.3591,0.5,0.0,0.4196,0.0,0.8984
recall,0.8222,0.7264,0.0,0.6287,0.0,0.0,0.6594,0.0,0.2558,0.6764,0.0,0.0,0.0,0.7499,0.819,0.0,0.9796,0.4174,0.0,0.0,0.0,0.9264,0.8755,0.0,0.15,0.6196,0.9437,0.7022,0.0161,0.0,0.3588,0.0,0.866
f1,0.7039,0.8009,0.0,0.679,0.0,0.0,0.7824,0.0,0.3826,0.6759,0.0,0.0,0.0,0.7892,0.8407,0.0,0.9853,0.4424,0.0,0.0,0.0,0.9308,0.8447,0.0,0.1519,0.6833,0.9516,0.4752,0.0312,0.0,0.3868,0.0,0.8819
